address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
33735 Railroad Ave,Union City,CA,94587,695000,1800.0,4.0,3.0,39,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/33735-Railroad-Ave-Union-City-CA-94587/58878905_zpid/
34800 Starling Dr APT 2,Union City,CA,94587,351000,903.0,2.0,1.0,2757,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/34800-Starling-Dr-APT-2-Union-City-CA-94587/24918387_zpid/
2265 Medallion Dr,Union City,CA,94587,319000,810.0,2.0,1.0,2642,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2265-Medallion-Dr-Union-City-CA-94587/24995150_zpid/
University Dr,Union City,CA,94587,NA,1557.0,4.0,3.0,83,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128855452_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Travertine Way,Union City,CA,94587,750000,1551.0,3.0,2.5,367,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124203751_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Bel Estos Way,Union City,CA,94587,NA,1155.0,3.0,1.5,325,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/126728580_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Regents Blvd,Union City,CA,94587,NA,1274.0,3.0,2.0,81,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128860915_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Viejo Way,Union City,CA,94587,442000,1155.0,3.0,2.5,437,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125083855_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Lois Way,Union City,CA,94587,652000,1340.0,3.0,2.0,47,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/116846072_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3rd St,Union City,CA,94587,NA,1757.0,4.0,2.0,32,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128652949_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Horner St,Union City,CA,94587,542000,1432.0,4.0,2.5,284,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116846098_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Washington Ave,Union City,CA,94587,NA,1452.0,3.0,2.0,135,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126897454_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Meridien Cir,Union City,CA,94587,913000,2905.0,5.0,3.0,72,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116838444_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Vallejo St,Union City,CA,94587,NA,2744.0,3.0,1.5,54,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128925573_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Jean Dr,Union City,CA,94587,894000,2770.0,5.0,3.0,499,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116850599_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
I St,Union City,CA,94587,NA,985.0,2.0,1.0,152,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128641148_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
San Carlos Way,Union City,CA,94587,745000,2120.0,5.0,3.0,107,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124402003_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Bronze St,Union City,CA,94587,1080000,3569.0,5.0,3.5,41,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/117331966_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Meridien Cir,Union City,CA,94587,NA,2847.0,4.0,3.0,304,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126883876_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Tamarack Dr,Union City,CA,94587,765000,2721.0,4.0,3.0,613,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116826556_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Novato St,Union City,CA,94587,NA,4146.0,8.0,5.0,52,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/128932179_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Apollo Cir,Union City,CA,94587,491000,1583.0,4.0,2.5,374,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/120556486_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Cheryl Ct,Union City,CA,94587,714000,1880.0,4.0,2.5,256,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/125775397_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Sorrento Way,Union City,CA,94587,840000,2258.0,4.0,3.0,343,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116838440_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Lamprey Dr,Union City,CA,94587,856000,2151.0,5.0,3.0,530,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116845052_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Rose Way,Union City,CA,94587,880000,2380.0,4.0,2.5,602,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124464092_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3rd St,Union City,CA,94587,521000,858.0,2.0,1.0,60,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/125849226_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Ruth Way,Union City,CA,94587,NA,1566.0,4.0,2.0,186,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126897451_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Balmoral St,Union City,CA,94587,628000,1492.0,3.0,2.0,300,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/116845041_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
30826 Vallejo St,Union City,CA,94587,699950,1336.0,3.0,2.0,51,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/30826-Vallejo-St-Union-City-CA-94587/24997242_zpid/
4921 Colusa St,Union City,CA,94587,798888,1409.0,4.0,2.0,39,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4921-Colusa-St-Union-City-CA-94587/25053184_zpid/
30699 Chimney Ln,Union City,CA,94587,685000,1412.0,4.0,2.0,51,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/30699-Chimney-Ln-Union-City-CA-94587/24991004_zpid/
33511 8th St,Union City,CA,94587,496000,1114.0,3.0,2.0,275,Auction,http://www.zillow.com/homes/for_sale//homedetails/33511-8th-St-Union-City-CA-94587/25002585_zpid/
8th St,Union City,CA,94587,NA,1114.0,3.0,2.0,290,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/126897453_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
3142 San Angelo Way,Union City,CA,94587,800000,1675.0,4.0,2.0,40,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3142-San-Angelo-Way-Union-City-CA-94587/24997591_zpid/
4716 Finn Cove Ct,Union City,CA,94587,1075000,2992.0,5.0,3.0,70,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4716-Finn-Cove-Ct-Union-City-CA-94587/24996834_zpid/
2238 Eric Ct APT 2,Union City,CA,94587,479999,1134.0,3.0,2.0,104,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2238-Eric-Ct-APT-2-Union-City-CA-94587/24995128_zpid/
4120 Asimuth Cir,Union City,CA,94587,451000,1390.0,3.0,1.0,42,Auction,http://www.zillow.com/homes/for_sale//homedetails/4120-Asimuth-Cir-Union-City-CA-94587/25000059_zpid/
Asimuth Cir,Union City,CA,94587,451000,1390.0,3.0,1.5,308,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/118427086_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
33051 Arizona St,Union City,CA,94587,785000,1550.0,4.0,2.0,60,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/33051-Arizona-St-Union-City-CA-94587/24995675_zpid/
4404 Alamo St,Union City,CA,94587,499000,1054.0,2.0,2.0,238,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/4404-Alamo-St-Union-City-CA-94587/24999244_zpid/
4430 Holt St,Union City,CA,94587,780000,1814.0,4.0,2.5,142,Auction,http://www.zillow.com/homes/for_sale//homedetails/4430-Holt-St-Union-City-CA-94587/25054625_zpid/
Holt St,Union City,CA,94587,780000,1814.0,4.0,2.5,153,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/124414275_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4524 Niland St,Union City,CA,94587,1295000,3160.0,5.0,4.0,74,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/4524-Niland-St-Union-City-CA-94587/79534088_zpid/
3504 Barnacle Ct,Union City,CA,94587,895000,2164.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3504-Barnacle-Ct-Union-City-CA-94587/69229556_zpid/
1238 H St,Union City,CA,94587,794999,NA,0.0,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1238-H-St-Union-City-CA-94587/25003183_zpid/
0 Florence Dr,Union City,CA,94587,1600000,NA,NA,NA,43,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Florence-Dr-Union-City-CA-94587/2099350233_zpid/
