address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2212 Grouse Way,Union City,CA,94587,849000,1661.0,4.0,3.0,10.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2212-Grouse-Way-Union-City-CA-94587/24920650_zpid/
3589 Crawdad Ct,Union City,CA,94587,649950,1098.0,3.0,2.0,51.0,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3589-Crawdad-Ct-Union-City-CA-94587/24990865_zpid/
2529 Trailside Way,Union City,CA,94587,1500000,2521.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2529-Trailside-Way-Union-City-CA-94587/25004213_zpid/
114 Toyon Ln,Union City,CA,94587,890000,1772.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/114-Toyon-Ln-Union-City-CA-94587/24920887_zpid/
3025 San Andreas Dr,Union City,CA,94587,699900,1556.0,4.0,2.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3025-San-Andreas-Dr-Union-City-CA-94587/24997873_zpid/
2721 Cherry Blossom Way,Union City,CA,94587,1230000,3088.0,6.0,4.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2721-Cherry-Blossom-Way-Union-City-CA-94587/25004067_zpid/
2533 Copa Del Oro Dr,Union City,CA,94587,409000,908.0,2.0,2.0,10,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2533-Copa-Del-Oro-Dr-Union-City-CA-94587/24994782_zpid/
31418 San Jacinto Ct,Union City,CA,94587,779000,1675.0,4.0,2.0,6,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/31418-San-Jacinto-Ct-Union-City-CA-94587/24998312_zpid/
San Pablo Ct,Union City,CA,94587,NA,1349.0,3.0,2.0,52,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/128641147_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4348 Remora Dr,Union City,CA,94587,1025000,2298.0,5.0,3.0,4,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4348-Remora-Dr-Union-City-CA-94587/24996539_zpid/
32924 Regents Blvd,Union City,CA,94587,1050000,2762.0,0.0,NA,NA,Coming Soon,http://www.zillow.com/homes/for_sale//homedetails/32924-Regents-Blvd-Union-City-CA-94587/25052857_zpid/
5513 Alvelais Dr,Union City,CA,94587,1299000,3198.0,4.0,4.0,5,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5513-Alvelais-Dr-Union-City-CA-94587/54790391_zpid/
4394 Planet Cir,Union City,CA,94587,539900,1342.0,4.0,2.0,19,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4394-Planet-Cir-Union-City-CA-94587/24998451_zpid/
35540 Monterra Ter APT 102,Union City,CA,94587,548000,1023.0,2.0,2.0,27,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/35540-Monterra-Ter-APT-102-Union-City-CA-94587/58877975_zpid/
Montair Way,Union City,CA,94587,NA,2710.0,4.0,3.0,24,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/132614253_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Niland St,Union City,CA,94587,NA,3367.0,4.0,4.0,24,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/132730110_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
San Carvante Way,Union City,CA,94587,NA,1762.0,3.0,2.0,28,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/129600232_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
31123 Alvarado Niles Rd,Union City,CA,94587,479000,1129.0,2.0,2.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/31123-Alvarado-Niles-Rd-Union-City-CA-94587/2137098078_zpid/
Nickel St,Union City,CA,94587,NA,2472.0,3.0,2.5,28,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/127017209_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Brockway Ct,Union City,CA,94587,NA,1871.0,4.0,2.5,25,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/132614255_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
32420 Edith Way,Union City,CA,94587,789000,1463.0,4.0,2.0,19,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/32420-Edith-Way-Union-City-CA-94587/24999680_zpid/
2438 Clover St,Union City,CA,94587,839888,1766.0,3.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2438-Clover-St-Union-City-CA-94587/24918450_zpid/
2145 Medallion Dr APT 1,Union City,CA,94587,400000,945.0,2.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2145-Medallion-Dr-APT-1-Union-City-CA-94587/24995095_zpid/
4118 Venus Pl,Union City,CA,94587,499500,1214.0,3.0,2.0,12,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/4118-Venus-Pl-Union-City-CA-94587/25000092_zpid/
4472 Madrid Ct,Union City,CA,94587,529900,1155.0,3.0,2.0,18,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/4472-Madrid-Ct-Union-City-CA-94587/24999189_zpid/
2898 Pelican Dr,Union City,CA,94587,808900,1544.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2898-Pelican-Dr-Union-City-CA-94587/24994711_zpid/
33200 11th St,Union City,CA,94587,875000,2688.0,4.0,3.0,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/33200-11th-St-Union-City-CA-94587/89033477_zpid/
5621 Pacific Grove Way,Union City,CA,94587,1035000,2236.0,4.0,3.0,23,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5621-Pacific-Grove-Way-Union-City-CA-94587/24997118_zpid/
2514 Barclay Ave,Union City,CA,94587,184888,1040.0,2.0,2.0,87,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2514-Barclay-Ave-Union-City-CA-94587/24996178_zpid/
32672 Brenda Way APT 2,Union City,CA,94587,344000,903.0,2.0,1.5,2314,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/32672-Brenda-Way-APT-2-Union-City-CA-94587/24995198_zpid/
2627 Parkside Dr,Union City,CA,94587,289995,1400.0,4.0,2.0,89,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/2627-Parkside-Dr-Union-City-CA-94587/2095207180_zpid/
34877 Rumford Ter,Union City,CA,94587,600000,1492.0,3.0,2.5,3230,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/34877-Rumford-Ter-Union-City-CA-94587/24919323_zpid/
2145 Medallion Dr APT 2,Union City,CA,94587,423000,1134.0,3.0,1.5,2651,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2145-Medallion-Dr-APT-2-Union-City-CA-94587/24995096_zpid/
240 Famoso Plz,Union City,CA,94587,398369,880.0,2.0,2.0,56,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/240-Famoso-Plz-Union-City-CA-94587/24919827_zpid/
2134 Swan Ct APT 1,Union City,CA,94587,331000,810.0,2.0,1.0,3213,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2134-Swan-Ct-APT-1-Union-City-CA-94587/24919134_zpid/
2189 Medallion Dr APT 1,Union City,CA,94587,380000,945.0,2.0,1.0,2664,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/2189-Medallion-Dr-APT-1-Union-City-CA-94587/24995103_zpid/
511 Tamarack Dr APT 7,Union City,CA,94587,435000,1072.0,2.0,1.5,3224,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/511-Tamarack-Dr-APT-7-Union-City-CA-94587/24920078_zpid/
32608 Brenda Way APT 1,Union City,CA,94587,325000,810.0,2.0,1.0,3526,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/32608-Brenda-Way-APT-1-Union-City-CA-94587/24995054_zpid/
32625 Brenda Way APT 1,Union City,CA,94587,330000,810.0,2.0,1.0,2718,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/32625-Brenda-Way-APT-1-Union-City-CA-94587/24995170_zpid/
